"CABELLO";"OJOS";"PIEL";"CROMA_CAB";"CROMA_OJOS";"CROMA_PIEL"
"rubio";"gris";"melocoton";"suave";"suave";"suave"
"rubio";"gris";"melocoton";"suave";"suave";"brillante"
"rubio";"gris";"melocoton";"suave";"brillante";"suave"
"rubio";"gris";"melocoton";"suave";"brillante";"brillante"
"rubio";"gris";"melocoton";"brillante";"suave";"suave"
"rubio";"gris";"melocoton";"brillante";"suave";"brillante"
"rubio";"gris";"melocoton";"brillante";"brillante";"suave"
"rubio";"gris";"melocoton";"brillante";"brillante";"brillante"
"rubio";"gris";"blanco / palido";"suave";"suave";"suave"
"rubio";"gris";"blanco / palido";"suave";"suave";"brillante"
"rubio";"gris";"blanco / palido";"suave";"brillante";"suave"
"rubio";"gris";"blanco / palido";"suave";"brillante";"brillante"
"rubio";"gris";"blanco / palido";"brillante";"suave";"suave"
"rubio";"gris";"blanco / palido";"brillante";"suave";"brillante"
"rubio";"gris";"blanco / palido";"brillante";"brillante";"suave"
"rubio";"gris";"blanco / palido";"brillante";"brillante";"brillante"
"rubio";"gris";"rosada";"suave";"suave";"suave"
"rubio";"gris";"rosada";"suave";"suave";"brillante"
"rubio";"gris";"rosada";"suave";"brillante";"suave"
"rubio";"gris";"rosada";"suave";"brillante";"brillante"
"rubio";"gris";"rosada";"brillante";"suave";"suave"
"rubio";"gris";"rosada";"brillante";"suave";"brillante"
"rubio";"gris";"rosada";"brillante";"brillante";"suave"
"rubio";"gris";"rosada";"brillante";"brillante";"brillante"
"rubio";"gris";"negro";"suave";"suave";"suave"
"rubio";"gris";"negro";"suave";"suave";"brillante"
"rubio";"gris";"negro";"suave";"brillante";"suave"
"rubio";"gris";"negro";"suave";"brillante";"brillante"
"rubio";"gris";"negro";"brillante";"suave";"suave"
"rubio";"gris";"negro";"brillante";"suave";"brillante"
"rubio";"gris";"negro";"brillante";"brillante";"suave"
"rubio";"gris";"negro";"brillante";"brillante";"brillante"
"rubio";"gris";"amarillento";"suave";"suave";"suave"
"rubio";"gris";"amarillento";"suave";"suave";"brillante"
"rubio";"gris";"amarillento";"suave";"brillante";"suave"
"rubio";"gris";"amarillento";"suave";"brillante";"brillante"
"rubio";"gris";"amarillento";"brillante";"suave";"suave"
"rubio";"gris";"amarillento";"brillante";"suave";"brillante"
"rubio";"gris";"amarillento";"brillante";"brillante";"suave"
"rubio";"gris";"amarillento";"brillante";"brillante";"brillante"
"rubio";"gris";"moreno claro / dorado";"suave";"suave";"suave"
"rubio";"gris";"moreno claro / dorado";"suave";"suave";"brillante"
"rubio";"gris";"moreno claro / dorado";"suave";"brillante";"suave"
