ID,CABELLO,OJOS,PIEL,CROMA_CAB,CROMA_OJOS,CROMA_PIEL,TEMP_OJOS,TEMP_PIEL,TEMP_CAB,VALOR_CAB,VALOR_OJOS,VALOR_PIEL,TEMP_TOTAL,VALOR_TOTAL,CROMA_TOTAL,PALETAS
0,rubio,gris,melocotón,suave,suave,suave,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
1,rubio,gris,melocotón,suave,suave,brillante,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
2,rubio,gris,melocotón,suave,brillante,suave,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
3,rubio,gris,melocotón,suave,brillante,brillante,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
4,rubio,gris,melocotón,brillante,suave,suave,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
5,rubio,gris,melocotón,brillante,suave,brillante,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
6,rubio,gris,melocotón,brillante,brillante,suave,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
7,rubio,gris,melocotón,brillante,brillante,brillante,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
8,rubio,gris,blanco / pálido ,suave,suave,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
9,rubio,gris,blanco / pálido ,suave,suave,brillante,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
10,rubio,gris,blanco / pálido ,suave,brillante,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
11,rubio,gris,blanco / pálido ,suave,brillante,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
12,rubio,gris,blanco / pálido ,brillante,suave,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
13,rubio,gris,blanco / pálido ,brillante,suave,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
14,rubio,gris,blanco / pálido ,brillante,brillante,suave,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
15,rubio,gris,blanco / pálido ,brillante,brillante,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
16,rubio,gris,rosada,suave,suave,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
17,rubio,gris,rosada,suave,suave,brillante,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
18,rubio,gris,rosada,suave,brillante,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
19,rubio,gris,rosada,suave,brillante,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
20,rubio,gris,rosada,brillante,suave,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
21,rubio,gris,rosada,brillante,suave,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
22,rubio,gris,rosada,brillante,brillante,suave,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
23,rubio,gris,rosada,brillante,brillante,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
24,rubio,gris,negro,suave,suave,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
25,rubio,gris,negro,suave,suave,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
26,rubio,gris,negro,suave,brillante,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
27,rubio,gris,negro,suave,brillante,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
28,rubio,gris,negro,brillante,suave,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
29,rubio,gris,negro,brillante,suave,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
30,rubio,gris,negro,brillante,brillante,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
31,rubio,gris,negro,brillante,brillante,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
32,rubio,gris,amarillento,suave,suave,suave,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
33,rubio,gris,amarillento,suave,suave,brillante,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
34,rubio,gris,amarillento,suave,brillante,suave,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
35,rubio,gris,amarillento,suave,brillante,brillante,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
36,rubio,gris,amarillento,brillante,suave,suave,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
37,rubio,gris,amarillento,brillante,suave,brillante,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
38,rubio,gris,amarillento,brillante,brillante,suave,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
39,rubio,gris,amarillento,brillante,brillante,brillante,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
40,rubio,gris,moreno claro / dorado,suave,suave,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
41,rubio,gris,moreno claro / dorado,suave,suave,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
42,rubio,gris,moreno claro / dorado,suave,brillante,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
43,rubio,gris,moreno claro / dorado,suave,brillante,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
44,rubio,gris,moreno claro / dorado,brillante,suave,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
45,rubio,gris,moreno claro / dorado,brillante,suave,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
46,rubio,gris,moreno claro / dorado,brillante,brillante,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
47,rubio,gris,moreno claro / dorado,brillante,brillante,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
48,rubio,gris,moreno / marrón claro,suave,suave,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
49,rubio,gris,moreno / marrón claro,suave,suave,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
50,rubio,gris,moreno / marrón claro,suave,brillante,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
51,rubio,gris,moreno / marrón claro,suave,brillante,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
52,rubio,gris,moreno / marrón claro,brillante,suave,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
53,rubio,gris,moreno / marrón claro,brillante,suave,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
