ID,CABELLO,OJOS,PIEL,CROMA_CAB,CROMA_OJOS,CROMA_PIEL,TEMP_OJOS,TEMP_PIEL,TEMP_CAB,VALOR_CAB,VALOR_OJOS,VALOR_PIEL,TEMP_TOTAL,VALOR_TOTAL,CROMA_TOTAL,PALETAS
0,rubio,gris,melocoton,suave,suave,suave,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
1,rubio,gris,melocoton,suave,suave,brillante,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
2,rubio,gris,melocoton,suave,brillante,suave,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
3,rubio,gris,melocoton,suave,brillante,brillante,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
4,rubio,gris,melocoton,brillante,suave,suave,frio,calido,calido,claro,claro,claro,calido,claro,suave,PRIMAVERA
5,rubio,gris,melocoton,brillante,suave,brillante,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
6,rubio,gris,melocoton,brillante,brillante,suave,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
7,rubio,gris,melocoton,brillante,brillante,brillante,frio,calido,calido,claro,claro,claro,calido,claro,brillante,PRIMAVERA
8,rubio,gris,blanco / palido,suave,suave,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
9,rubio,gris,blanco / palido,suave,suave,brillante,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
10,rubio,gris,blanco / palido,suave,brillante,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
11,rubio,gris,blanco / palido,suave,brillante,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
12,rubio,gris,blanco / palido,brillante,suave,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
13,rubio,gris,blanco / palido,brillante,suave,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
14,rubio,gris,blanco / palido,brillante,brillante,suave,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
15,rubio,gris,blanco / palido,brillante,brillante,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
16,rubio,gris,rosada,suave,suave,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
17,rubio,gris,rosada,suave,suave,brillante,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
18,rubio,gris,rosada,suave,brillante,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
19,rubio,gris,rosada,suave,brillante,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
20,rubio,gris,rosada,brillante,suave,suave,frio,frio,calido,claro,claro,claro,frio,claro,suave,OTOÑO
21,rubio,gris,rosada,brillante,suave,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
22,rubio,gris,rosada,brillante,brillante,suave,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
23,rubio,gris,rosada,brillante,brillante,brillante,frio,frio,calido,claro,claro,claro,frio,claro,brillante,OTOÑO
24,rubio,gris,negro,suave,suave,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
25,rubio,gris,negro,suave,suave,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
26,rubio,gris,negro,suave,brillante,suave,frio,calido,calido,claro,claro,oscuro,calido,claro,suave,PRIMAVERA
27,rubio,gris,negro,suave,brillante,brillante,frio,calido,calido,claro,claro,oscuro,calido,claro,brillante,PRIMAVERA
