,NOMBRE,PRECIO (€),LINK,PRODUCTO,PALETA,TIENDA
0,Paleta de Sombras Pastel Tropics,9.99,https://www.primor.eu/lovely-makeup/74651-paleta-de-sombras-pastel-tropics.html#/volumen-1_unidad,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
1,Sweet Pastel Paleta de Sombras,2.99,https://www.primor.eu/magic-studio/80715-sweet-pastel-paleta-de-sombras.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
2,Soft Hues Paleta Rose Quartz,2.99,https://www.primor.eu/w7/67711-soft-hues-paleta-rose-quartz.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
3,Soft Hues Paleta Aquamarine,2.99,https://www.primor.eu/w7/67709-soft-hues-paleta-aquamarine.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
4,Paletas de sombras Mini Match,6.5,https://www.primor.eu/i-heart-revolution/85434-paletas-de-sombras-mini-match.html#/mini_match_i_heart_revolution-friday_feels,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
5,Paletas de sombras Mini Match,6.5,https://www.primor.eu/i-heart-revolution/85434-paletas-de-sombras-mini-match.html#/mini_match_i_heart_revolution-cherry_please,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
6,Paletas de sombras Mini Match,6.5,https://www.primor.eu/i-heart-revolution/85434-paletas-de-sombras-mini-match.html#/mini_match_i_heart_revolution-fried_egg,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
7,Paletas de sombras Mini Match,6.5,https://www.primor.eu/i-heart-revolution/85434-paletas-de-sombras-mini-match.html#/mini_match_i_heart_revolution-peach_please,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
8,Paletas de sombras Mini Match,6.5,https://www.primor.eu/i-heart-revolution/85434-paletas-de-sombras-mini-match.html#/mini_match_i_heart_revolution-oops_a_daisy,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
9,Forever Dynamic Paleta de Sombras Animal Magic,7.99,https://www.primor.eu/revolution/85902-forever-dynamic-paleta-de-sombras-animal-magic.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
